ذرية	ðurrijjah
هذه	haðihi
سوسة	susa
قبع	qabaʕa
أعمدة	ʔaʕmida
أتوبوس	ʔotobus
كرخ	kirx
توج	tawwad͡ʒa
السفن	assufun
أطلسي	ʔatˤlasijj
سرجين	sird͡ʒin
زبرجد	zabard͡ʒad
برج	barid͡ʒa
فوارة	fawwara
قطارة	qatˤtˤara
مطفأة	mitˤfaʔa
فولاذ	fulað
قعد	qaʕada
جام	d͡ʒam
زرنب	zarnab
دلب	dulb
كولومبيا	kolombija
حقيقة	ħaqiqa
زمزم	zamzam
أنور	ʔanwar
خبز	xabaza
استهلك	istahlaka
صوف	sˤawwafa
أصفاد	ʔasˤfad
جخى	d͡ʒaxxa
مارس	marasa
مؤمن	muʔmin
رضا	ridˤan
سهل	sahula
ظاء	ðˤaʔ
ساق	saqa
قرب	qurba
ندى	nada
فرقاطة	frɡatˤa
تشالة	taʃaʃil
مرتفع	murtafaʕ
ممسح	mumassaħ
تلفون	tilifun
هاجم	had͡ʒama
أحرج	ʔaħrad͡ʒa
يوحنا	juħanna
مغناطيسي	maɣnatˤisijj
هزيز	haziz
تنفس	tunaffisa
غادر	ɣadara
قماش	ɡumaʃ
حرق	ħaraqa
أدان	ʔadana
دارفلفل	darfilfil
بحر	baħr
مدام	mudam
عطاس	ʕutˤas
حق	ħaqqa
زمزم	zamzama
استرجع	istard͡ʒaʕa
لغويات	luɣawijjat
سنت	sant
قدم	qadima
فلنجة	filind͡ʒa
عود	ʕud
مغناطيس	miɣnatˤis
ضائنة	dˤaʔina
سموم	sumum
هما	huma
خبز	xabz
شهدانج	ʃahdanad͡ʒ
خير	xajr
جمعة	d͡ʒumʕa
تأوه	taʔawwaha
فهم	fahm
مركب	markab
طين	tˤin
بطء	butˤuʔ
أصفر	ʔasˤfar
قازاقستان	qazaqistan
كامل	kamil
محافظ	muħafaðˤ
أبرز	ʔabruza
مخرفة	maxrafa
جملة	d͡ʒumla
محاور	muħawir
قصيبة	qusˤajba
انفرط	infaratˤa
سفاح	sifaħ
برجل	bard͡ʒal
عاين	ʕajana
بطارقة	batˤariqa
عجرم	ʕud͡ʒrum
مسطرات	mistˤarat
ظهر	ðˤahhara
أولى	ʔula
آل	ʔal
أودى	ʔawda
طائرة	tˤaʔira
لله	lillahi
فطيسة	fitˤtˤisa
دلاع	dullaʕ
مشارة	maʃara
آية	ʔaja
لصق	lasˤiqa
حصاد	ħasˤsˤad
تسعمائة	tisʕumiʔa
برمائي	barmaʔijj
شمسي	ʃamsijj
أرضي	ʔardˤijj
مقارنة	muqarana
أشل	ʔaʃall
شقوة	ʃaqwa
باح	baħa
مزج	mazad͡ʒa
عن	ʕan
خباز	xubbaz
بيض	bajjadˤa
لجوء	lud͡ʒuʔ
حانوت	ħawanit
كثيرا	kaθiran
رقيق	raqiq
ضباب	dˤabbab
جلد	d͡ʒild
ذنب	ðanab
زرع	zarʕ
تنفس	tanfasa
فوتنج	futanad͡ʒ
باب	bab
قطع	qitˤaʕ
جفن	d͡ʒafn
متزاوج	mutazawid͡ʒ
هاته	hatihi
تخم	tuxm
الأندلس	alʔandalus
حكاية	ħikaja
نيجيريا	niɡirija
عزى	ʕaza
جوافة	d͡ʒawafa
إبريز	ʔibriz
تسلط	tasallatˤa
عسقلان	ʕasqalan
أفلاطوني	ʔaflatˤunijj
قلب	qallaba
زربية	zirbijja
لبى	labba
نضو	nidˤw
سلسلة	silsila
دشمة	duʃma
غيبة	ɣajba
ضواحي	dˤawaħi
تايلند	tajland
أولى	ʔawla
زنباعة	zanbaʕa
بلاستيكي	blastikijj
محول	muħawwil
إقليميا	ʔiqlimija
سبب	sabbaba
شخر	ʃaxara
حبل	ħabl
مفروغ	mafruɣ
موسكو	musku
إشبين	ʔiʃbin
سيجارة	sid͡ʒara
شلة	ʃalla
نيتروجين	nitrod͡ʒin
زخة	zaxxa
خشاب	xaʃʃab
جمال	d͡ʒimal
ديسمبر	disambir
خطف	xatˤafa
تفقد	tafaqqada
أضاع	ʔadˤaʕa
اتصل	ittasˤala
استفز	istafazza
استشرق	istaʃraqa
قلب	qulb
مخدر	muxaddir
عنصر	ʕunsˤur
حادثة	ħadiθa
ذاق	ðaqa
تسامح	tasamaħa
دلاعة	dallaʕa
نجار	nad͡ʒd͡ʒar
إطرية	ʔitˤrija
قتلة	qitlah
هم	himm
قاتل	ɡatal
إلياس	ʔiljas
أعف	ʔaʕaffa
شم	ʃamma
إشبيلية	ʔiʃbilja
أكل	ʔukl
رواقي	riwaqijj
أغلب	ʔaɣlib
رائب	raʔib
طبيبة	tˤabiba
غرد	ɣarad
صمم	sˤammama
يونيو	junijo
أندر	ʔandara
صحيح	sˤaħiħ
أعمى	ʔaʕma
أوحد	ʔawħad
آدب	ʔadib
خبر	xabura
جهاد	d͡ʒahad
ة	r
وبخ	wabbaxa
عوج	ʕiwad͡ʒ
زرافة	zarafa
أمس	ʔumassi
دفلى	difla
مستقيم	mustaqim
بندق	bunduq
حصن	ħisˤn
أغرق	ʔaɣraqa
وفق	waffaqa
مستدير	mustadir
كمثرى	kummaθra
كثيرا	kaθira
كراني	karranijj
لاحق	laħiq
تفريغ	tafriɣ
فراولة	farawla
قفة	quffa
قاعة	qaʕa
بيدر	bajdar
كوالا	kuwala
لمع	lammaʕa
قذيفة	qaðifa
غمامة	ɣimama
قانون	qanun
تحدى	taħadda
آذريون	ʔaðarjun
باقلى	baqilla
صدرية	sˤidrijja
خلع	xalaʕa
صرصار	sˤirsˤar
مخيم	muxajjam
أغار	ʔaɣara
حرقوص	ħarqusˤ
ترميم	tarmim
شراب	ʃarrab
دهشة	dahʃa
بن	binna
إسرائيلي	ʔisraʔilijj
رطب	ratˤib
صفر	sˤafar
أموي	ʔumawijj
قسنطينة	qusantˤina
أمي	ʔummijj
فصولياء	fasˤulijaʔ
ثوري	θuri
ركل	rakala
شمراخ	ʃimrax
حج	ħad͡ʒd͡ʒa
عرف	ʕarafa
توضح	tawadˤdˤaħa
عاد	ʕada
جنب	d͡ʒannaba
هنا	huna
ديسمبر	disimbar
ذهن	ðihn
تشيكوسلوفاكيا	tʃekoslovakija
انحاز	inħaza
يسار	jusara
معماري	miʕmarijj
ثريد	θarid
مدني	madanijj
خلر	xullar
ريح	rajjiħ
حدوة	ħidwa
لج	lud͡ʒd͡ʒ
سياع	sajaʕ
خصوص	xusˤusˤ
ابتذل	ibtaðala
مدفأ	midfaʔ
داخ	daxa
آمين	ʔamina
فقري	fiqrijj
هاء	haʔa
لام	lama
عمى	ʕamma
بخت	baxt
إبريل	ʔibril
اتجه	ittad͡ʒaha
اختطف	ixtatˤafa
شيعة	ʃiʕa
تراجم	tarad͡ʒim
ثقل	θiqlun
مشط	miʃtˤ
لوز	luz
ابنة	ibna
أبهج	ʔabhad͡ʒa
شعر	ʃiʕr
مفلفل	mufalfal
مقصر	muqasˤsˤar
بليحا	baliħa
إسبغول	ʔisbaɣol
غراب	ɣurab
قسطران	qastˤaran
خيالي	xajalijj
تصفح	tasˤaffaħa
الصربية	asˤsˤirbijja
محنة	miħna
حقوقي	ħuquqijj
تفاح	tuffaħ
شرعي	ʃarʕijj
برق	baraqa
هجاء	had͡ʒd͡ʒaʔ
شدة	ʃidda
اثنان	iθnan
ضرب	dˤuriba
نعال	niʕal
ذميم	ðamim
منطقة	məntˤəɡə
صفيحة	sˤafiħa
كزبرة	kəzbərə
مدرسة	mudarrasa
أحجم	ʔaħd͡ʒama
رماد	ramad
صحى	sˤaħħa
حرف	ħarrafa
مختصر	muxtasˤir
زخات	zaxxat
ديناميكا	dinamika
تداع	tadaʕin
استقبال	stiqbal
قدم	qadam
فرفحين	farfaħin
مكتبة	maktaba
رفاهة	rafaha
طاقية	tˤaqijja
منقار	minqar
تجوف	tad͡ʒawwafa
إعراب	ʔiʕrab
مقابلة	muqabalah
موسكو	mosku
أبله	ʔablah
قهوة	ɡahwa
هندس	handasa
إثيوبيا	ʔiθjubija
يا	ja
ذكر	ðakkara
كلح	kalaħa
خرطال	xartˤal
قبول	qabul
ضرط	dˤaritˤa
لأن	liʔan
بيرق	bajraq
إكليل	ʔiklil
إرهاب	ʔirhab
بيض	bidˤ
بن	bunn
خز	xazz
خنشار	xinʃar
بدر	badr
زيت	zajt
استجمام	istid͡ʒmam
ملك	malak
استفرغ	istafraɣa
ذهب	ðahhaba
ضيون	dˤajwan
بربري	barbarijj
سينما	sinama
سوريا	surija
هبة	hiba
شاشية	ʃaʃijja
تاريخية	tarixijja
أعز	ʔaʕazz
امتحان	imtiħan
ماذا	maða
نجاح	nad͡ʒaħ
لأن	liʔanna
أجاب	ʔad͡ʒaba
هاد	hada
عتبة	ʕataba
النيجر	annid͡ʒar
قابلة	ʔable
برشام	burʃam
ضربة	dˤarba
عمان	ʕamman
إشعاعي	ʔiʃʕaʕijj
طقس	tˤaʔəs
تمسيد	tamsid
يونيو	juniju
واحات	waħat
بطارخ	butˤarix
غربالي	ɣirbalijj
كبة	kibba
ضرب	dˤarab
عجلة	ʕad͡ʒala
كون	kawn
متى	mata
قاتل	qatil
كسيح	kasiħ
بلوة	bilan
سدارة	sadara
منجى	mand͡ʒan
استئمارة	istiʔmara
مبتلى	mubtalan
ضرب	dˤariba
مبشرة	mibʃara
فبراير	fibrajir
قنص	qansˤ
أمريكي	ʔamrikijj
لاحم	laħim
خزف	xazaf
إذاعة	ʔiðaʕa
لهي	lahija
ورق	waraq
ثمان	θamanin
عيان	ʕajjan
طعن	tˤiʕna
اجتماع	id͡ʒtimaʕ
محافظة	muħafaðˤa
جريدة	d͡ʒarida
قائمة	qaʔima
شاورما	ʃawarma
وقع	waqaʕa
الفاتيكان	alfatikan
رهج	rahad͡ʒ
جوز	d͡ʒoz
وثق	waθiqa
عظ	ʕiðˤ
رحمن	raħimna
جص	d͡ʒisˤsˤ
سبسب	sabsaba
نيويورك	nijujork
بنت	binta
جائع	d͡ʒaʔiʕ
مطاف	matˤaf
هال	hala
زغاية	zaɣaja
حصاد	ħisˤad
قاعة	ʔaʕa
امرأ	imraʔa
جلباب	d͡ʒilbab
كنباث	kimbaθ
شكري	ʃukrijj
مدفع	midfaʕ
ثمن	θaman
إبريق	ʔibriq
تفسيري	tafsirijj
إفريقيا	ʔifriqja
مزق	mazzaqa
شبح	ʃabħ
أم	ʔumm
مجن	mid͡ʒann
فهرس	fəhrəs
ردة	ridda
وجدة	wad͡ʒda
فرث	farθ
تعريف	taʕrif
ضمير	dˤamir
متسامح	mutasamiħ
لوط	lutˤ
تلاش	talaʃin
شيراز	ʃiraz
فسر	fassara
علم	ʕallama
إهليلجي	ʔihlilad͡ʒijj
مخبأ	maxbaʔ
قرنبيط	qarnabitˤ
وليمة	walima
بثن	baθan
ثقل	θaqqala
إسطبل	ʔistˤabl
ضفدع	dˤufdaʕ
صراع	sˤiraʕ
دياقود	dijaqud
مجمد	mud͡ʒammad
بدوي	badawijj
حفيدة	ħafida
صندوق	sˤunduq
وشيك	waʃik
اعتداء	iʕtidaʔ
تلميح	talmiħ
انتظام	intiðˤam
حريم	ħarim
نقدا	naqdan
إسفنط	ʔisfantˤ
سويسري	suwisrijj
أدبي	ʔaddibi
قماش	qumaʃ
قرصان	qursˤan
قنطرة	qantˤara
إبل	ʔibil
لكز	lakz
فقير	faqir
ثرى	θaran
مقلياثا	maqlijaθa
غيور	ɣajur
دابرة	dabira
غسالة	ɣassala
حنطة	ħintˤa
نوح	nuħ
شكال	ʃikal
دبج	dabbad͡ʒa
مماس	mumass
مشيمة	maʃima
فهرس	fihris
عاد	ʕad
لصق	lasˤsˤaqa
آمن	ʔamanu
تذاكى	taðaka
ورشان	waraʃan
طرفاء	tˤurafaʔ
شاكرة	ʃakira
أشرفي	ʔaʃrafijj
قديم	ɡadim
دين	dajjin
بيطرة	bajtˤara
مري	muri
مشرق	maʃriq
زأر	zaʔara
فليفلة	fulajfila
أنفاق	ʔunfaq
كره	karraha
تحرش	tuħarriʃ
حملة	ħamla
رائع	raʔiʕ
أحور	ʔaħwar
قطار	qitˤar
زحف	zaħafa
مروض	murawwadˤ
زملاء	zumalaʔ
إيقاع	ʔiqaʕ
برغوث	burɣuθ
جزيرة	d͡ʒazira
ابن	ibni
لاسلكي	lasilkijj
خف	xaffa
انتبه	intabaha
أزعج	ʔazʕad͡ʒa
جوي	d͡ʒawwijj
أيل	ʔajjal
ضياع	dˤajaʕ
قبر	ɡabar
درس	darasa
بوصلة	busˤla
شيم	ʃajjama
فنجنكشت	fand͡ʒankuʃt
قال	qal
زبل	zabbala
قيلولة	qajlula
خرفة	xurfa
خرج	xarad͡ʒa
تزويد	tazwid
مستوقد	mustawqad
جهة	d͡ʒiha
أطاح	ʔatˤaħa
صوفي	sˤufijj
مفاجأة	mufad͡ʒaʔa
جاب	d͡ʒaba
قارن	qarana
مسرح	masraħ
حفيد	ħafid
ناحية	naħija
كنزة	kanza
عاب	ʕaba
نيلج	najlad͡ʒ
جفن	d͡ʒifin
ركع	rakaʕa
حجرة	ħud͡ʒra
تفوق	tafawwaqa
حلتيت	ħaltit
كم	kum
براءة	baraʔa
داخل	daxala
ترياق	tirjaq
اذلولى	iðlawla
أصفر	ʔasˤfara
أنطاكية	ʔantˤakija
موزمبيق	mozambiq
كمأ	kamaʔ
كرسي	kursijj
خدش	xaddaʃa
همزة	hamza
تواطؤ	tawatˤuʔ
شريعة	ʃariʕa
توبة	tobɐ
حذفي	ħaðafijj
رغائف	raɣajif
خرنباش	xuranbaʃ
مسود	mɪswɐd̚
ثآليل	θaʔalil
متوسط	mutawassitˤ
ديبوذ	dajabuð
أطرش	ʔatˤraʃ
مكون	mukawwin
قاقلة	qaqilla
أندر	ʔandar
جدد	d͡ʒaddada
قريدسة	qurajdisa
قيمة	ɡima
هن	hin
تقدد	taqaddada
دلو	dalw
سميد	samid
جريب	d͡ʒurajb
دمع	damʕ
آ	ʔa
شقة	ʃuqqa
لبلاب	lablab
قطعة	qatˤaʕa
برغي	burɣijj
ثيوقراطي	θijuqratˤijj
عوينات	ʕuwajnat
مبتل	mubtalin
ققنوس	quqnus
نظارة	naðˤðˤara
تقويم	taqwim
هيا	hajja
سرقين	sirqin
وقية	wiqijja
مقصود	maqsˤud
لوح	loħ
حديث	ħadiθ
بورندي	burundi
حظيرة	ħaðˤira
بهمن	bahman
وقية	wuqijja
مرقاق	mirqaq
كليل	kalil
رومانسي	rumansijj
سنونوة	sununuwa
رمادي	ramadijj
صرب	sˤaraba
دون	dawwana
ظفر	ðˤafira
محاصر	muħasˤir
قشر	ɡiʃir
بطم	butˤm
قرقس	qirqis
انتقاض	intiqadˤ
مساومة	musawama
تاء	taʔ
سبح	sabaħa
مختصر	muxtasˤar
شرب	ʃurb
لقاح	laqaħ
تباكى	tabaka
اتجاهات	ittid͡ʒahat
كاكنج	kakind͡ʒ
بريطاني	baritˤanijj
ناسك	nasik
رب	rabba
سعي	suʕija
دم	dum
أغلب	ʔaɣlabu
ل	l
أقضى	ʔaqdˤa
زهرة	zuhra
تبشير	tabʃir
ملك	mallaka
شيرج	ʃirid͡ʒ
بعيثران	baʕajθaran
حرق	ħaraɡ
مشكور	maʃkur
رحب	raħab
اليونان	aljunan
قرنفل	qaranful
فسيفساء	fusajfisaʔ
جارة	d͡ʒara
أخدود	ʔuxdud
قابلة	ʔabla
صحا	sˤaħa
وقت	waʔt
براين	brajan
شمس	ʃammasa
جبل	d͡ʒabala
استبد	istabadda
اجتاز	id͡ʒtaza
قمل	qaml
قشع	qaʃaʕa
أن	ʔan
أشهد	ʔaʃhada
تراب	turab
بنت	banat
كره	karih
إنجلترا	ʔinɡiltera
خاء	xaʔ
معين	muʕajjan
شاهدانق	ʃahdanaq
تفاوض	tafawudˤ
روبيان	rubijan
غ	ʁ
لبوس	labus
سبتمبر	sibtimbir
عربز	ʕarbaz
شتاء	ʃitaʔ
صبر	sˤabir
أغلب	ʔaɣliba
أثل	ʔaθl
يعقوب	jaʕqub
أسهل	ʔusahhala
إنقاض	ʔinqadˤ
ريفي	rifijj
دهليز	dihliz
ميعاد	miʕad
نظيف	naðˤif
تفسير	tafsir
شاكوش	ʃakuʃ
سفرجلة	safard͡ʒala
أيام	ʔajjam
للأسف	lilʔasaf
نساء	nisaʔ
الأوكيناوا	alʔukinawa
لازوردي	lazuwardijj
متفجرات	mutafad͡ʒd͡ʒirat
قشد	qaʃada
مهندس	muhandis
حمزة	ħamzah
عنصل	ʕunsˤal
إفرند	ʔifrind
دبقي	dibqijj
امرؤ	umruʔ
ظفر	ðˤufr
مطحنة	matˤħana
وعد	waʕada
شاورما	ʃɐwərmə
كشمش	kiʃmiʃ
بخير	bixajr
جزيرة	ɡazira
ولد	wallada
هزة	hazza
صقنقور	sˤaqanqur
وريد	warid
شاور	ʃawara
خلقي	xilqijj
أعمى	ʔuʕamma
نعامة	naʕama
أوج	ʔawd͡ʒ
طاجن	tˤad͡ʒin
اتضح	ittadˤaħa
تدريب	tadrib
ثقافة	θaqafa
مغطس	maɣtˤis
هودج	hawdad͡ʒ
قبض	qabadˤa
احتراق	iħtiraq
رائعة	raʔiʕa
أوجد	ʔud͡ʒada
ناردين	naradin
موقف	mawqif
عجاب	ʕud͡ʒab
فور	fawr
إناء	ʔinaʔ
أسفر	ʔasfara
مبارك	mubarak
أب	ʔab
عجب	ʕud͡ʒb
متطرف	mutatˤarrif
بيرو	beru
رب	rubb
شاط	ʃatˤa
برقوق	burquq
شكرا	ʃukran
خلق	xalq
أنعل	ʔanʕul
مفتش	mufattiʃ
دثر	daθr
كمان	kaman
كرة	karra
بغي	baɣijj
فنار	fanar
نفخ	nafx
السعودية	assuʕudijja
ترفع	taraffaʕa
ضحك	dˤaħika
حياة	ħajah
قلاووز	qalawuz
طيهوج	tˤihud͡ʒ
لاتفيا	latvija
رباط	ribatˤ
زرقون	zarqun
توعوي	tawʕawijj
كذاب	kaddab
سلم	sullam
ر	raʔ
فالجي	falad͡ʒijj
زائف	zaʔif
توقيف	tawqif
برتقالي	burtuqalijj
ألهى	ʔalha
