אנוכי	ʔ a . n o ˈx i
בית	b e θ
שכח	ʃ a ˈχ a χ
קול	q o l
ברכה	b ʁ a ˈχ a
אורי	o ˈʁ i
אבד	ʔ a ˈv e d
דממה	d m a ˈm a
קשישא	ˈk ʃ i ʃ ɑ
צהריים	t͡s a h a ˈʁ a j i m
אשך	ˈʔ ɛ ʃ ɛ χ
לבב	l e ˈv ɔ v
שבת	ʃ a ˈb ɔ s
שדר	ˈʃ ɛ d ɛ ʁ
כלל	k a ˈl a l
אסור	a ˈs u ʁ
עלה	ʔ a ˈl a
לדרוש	l i d ˈʁ o ʃ
מעלה	ˈm a ʕ . l ɔ
נער	ˈn a . ʔ a ʁ
צדק	ˈsˤ ɛ . ð ɛ q
תורה	t o ˈʀ ɔ
שמנת	ʃ a ˈm ɛ . n ɛ t
א	a l e f
אתה	ʔ a ˈt a
מהפכה	m a h a p e ˈχ a
דבק	ˈd e . v e k
תורה	t̪ o ˈɾ a
תיקונצ׳יק	t i ˈk u n . t ʃ i k
נמצא	n i m ˈt͡s a
הורדוס	ˈh o r d u s
שקר	ˈʃ e q e r
חברון	ħ ɛ v ˈr o n
עוגייה	u . ɡ i ˈj a
דוד	d o j d
סינכרן	s i n ˈk r e n
אויב	o ˈj e v
מקום	m a ˈk o m
סיפר	s i ˈp ɛ ʁ
נקבה	n ɛ q e ˈv ɔ
זכר	z a ˈx a r
ארבעה	ʔ a r . b a . ʕ a h
הפשיט	h i f ˈʃ i t
אות	ɔ ɪ s
דבר	d a ˈb a r
גפן	ˈd ʒ æ f æ n
שמואל	ʃ a m u ˈʔ e l
נאט״ו	ˈn e ɪ . t o
שקיעה	ʃ k i ˈʕ a
לה	l ɑ h
סיבוך	s i ˈb u χ
פן	p e n
חרמן	χ a ʁ ˈm a n
רוח	ˈʁ u . a x
ארכנופוביה	a ʁ a χ n ɔ ˈf ɔ b j a
צבא	t͡s a ˈv a
כבוד	k a ˈb o d
אבדה	ʔ a v e ˈd a
תינוק	t i ˈn o k
שבור	ʃ a ˈv u ʁ
שדר	ʃ a ˈd a ʁ
היה	h a ˈj a
חסד	ˈħ e s e d
ה־	h a
שבע	ʃ ɛ . v a ʕ
לכאן	l ə ˈk ɑ n
הצהיר	h i t͡s ˈh i ʁ
התאבד	h i t ʔ a ˈb e d
יוחנן	j o . ħ ɔ ˈn ɔ n
איראן	i ˈʁ a n
סמכות	s a m ˈχ u t
תפר	t a ˈf a r
תפירה	t f i ˈʁ a
כנסת	ˈk n e s e t
יפה	j a ˈf e
מר	m a ʁ
קדשנו	k a d ɨ ˈʃ e n u
לה	l a
עיוור	i ˈv ɛ ʁ
שמע	ʃ m a
עיפרון	ʔ i p a ˈʁ o n
עברית	ʕ i b ˈr i t
שלום	ʃ a ˈl o m
מחרתיים	m a . ħ o . r a ˈθ a . j i m
בהכרח	b ə . h e χ ˈʁ e . a χ
קהל	k a h a l
שקיעה	ʃ k i ˈj ʕ a
סופגנייה	s u f . ɡ a n ˈj a
חמישה	x a . m i ˈʃ a
אף	ʔ a f
תרופה	t ʁ u ˈf a
אנוכי	ʔ ɔ . n ø ˈx i
דמות	d m u t
צדק	ˈsˤ æ . ð æ q
אבד	ʔ a ˈv a d
חורפי	χ o ʁ ˈf e i̯
יוחנן	ˈj o . χ a . n a n
ירך	j a ʁ ɛ χ
קול	q o l
גפן	ˈɡ ɔ f e n
פעם	p a . ˈʔ a m
שלום	ʃ ɔ ˈl o m
עט	ʕ e tˤ
כפל	k a ˈf a l
שוב	ʃ u v
רבקה	r i v ˈk ɔ
אסתר	e s ˈt̪ e r
ציפור	t͡s i ˈp o ʁ
גן	ɡ ɛ n
קהל	ɡ ɔ h ɔ l
עדכון	i d ˈk u n
מאתיים	m a . ʔ a ˈt a . j i m
אסטרופיזיקה	a s t ʁ ɔ f i z i k a
תפוז	t a ˈp u z
כוהן	ˈk o j . h e n
שנאה	s i n ˈʔ a
ליקק	l i ˈk e k
תמונה	t m u ˈn a
מאות	m o t
כחול	k a ˈχ ɔ l
הפך	h a ˈf a χ
יצר	j a ˈt s a ʁ
טלפון	ˈt e l e f o n
פיזי	ˈf i z i
אנגליה	ˈʔ ŋ ɡ l i j a
דלקת	d a ˈl e . k e t
גברבר	ɡ v a ʁ ˈv a ʁ
רווק	r a w ˈw a q
נמל	n a ˈm a l
דבק	d a ˈv a k
עמורה	ɣ ɑ m o r ɑ
מלון	m e l o n
ישב	j i ˈʃ e v
הראה	h ɛ ʁ ˈʔ a
בקע	ˈb e k a
לשון	l ɔ ˈʃ ø n
ל־	l ə
חמץ	ħ a ˈm e sˤ
בניין	b i n ˈj a n
חום	χ u m
שקים	s a k i m
יוחנן	j o j . χ ɔ . n ɔ n
אָ	o
שופכה	ʃ ɔ f ˈχ a
גפן	ˈɡ ɛ f ɛ n
אג״ח	ʔ a ˈɡ a x
פחדן	p a χ ˈd a n
ארבעה	a ʁ . b a ˈa
ברבור	b a ʁ ˈb u ʁ
כרוב	k ə ˈr u v
רבקה	r i v ˈq ɔ
קרא	q ɔ ˈʀ ɔ ʔ
ל־	l a
משכן	m i ʃ ˈk a n
אגם	a ˈɡ a m
אבה	ʔ ɔ ˈv ɔ
עלה	ʔ a ˈl e
שבע	ʃ a . β a ʕ
גרון	ɡ a ˈʁ o n
טרוריסט	t e ʁ o ˈʁ i s t
לפה	l e ˈf o
אנציקלופדיה	ɛ n t s i k l ɔ ˈp ɛ d j a
צמח	ˈt s e . m a x
שמעון	ʃ i m ˈʔ o n
שדה	s a ˈd e
למוד	l a ˈm u d
אבגתא	ʔ a v a ɣ ˈθ ɔ
אדום	a ˈd̪ o m
פשט	p a ˈʃ a t
בית	ˈb a . j i θ
אהב	ʔ a ˈh a v
שדרן	ʃ a d ˈʁ a n
ציון	ˈsˤ i . j ø n
אליך	ʔ e ˈl a . j i χ
בחור	ˈb ɔ χ ə r
מסכת	m a ˈs e . χ e t
מדע	m a ˈd a ʕ
מחרתיים	m o χ . ʁ a ˈt a . j i m
ממש	m a ˈm a ʃ
מברג	m a v ˈʁ e ɡ
משוש	m a ˈs o s
צי	t͡s i
חדש	χ a ˈd a ʃ
נאט״ו	ˈn a . t o
טלית	t a ˈl e t
אָ	ʔ o
קנה	k a ˈn a
רבקה	r i v ˈk a
מתתיהו	m a . t i t ˈj a . h u
גמבה	ˈɡ a m b a
רצח	ˈʁ e . t s a χ
אדם	ʔ ɔ ˈð ɔ m
אחד	e ˈχ ɔ d
גמל	ɡ a ˈm a l
יזיז	j a ˈz i z
שטח	ˈʃ ɛ . t a χ
נעמי	n ɔ . ʕ ɔ ˈm i
ישראל	j i s . r a ˈʔ e l
ארבע	a ʁ ˈb a
אפ׳חד	ˈʔ a f ˌx a d
רבץ	ʁ a ˈv a t͡s
דוד	d a ˈw i ð
שלף	ʃ a ˈl a f
תרועה	t ʁ u ˈʔ a
לקק	l u ˈk a k
תחת	ˈt a . ħ a t
שובל	ʃ o ˈv a l
הלכה	h a l ˈχ a
בראשית	b e r e ˈʃ i t
חשוב	χ a ˈʃ u v
על	ʕ a l
סרטון	s i ʁ ˈt o n
נותן	n o ˈθ e n
א	ʔ
שנא	s ɔ ˈn e ʔ
זנה	z a ˈn a
אב	ʔ a v
קרא	q ɔ ˈr ɔ ʔ
ארמנית	a ʁ ˈm ɛ n i t
ישב	j a ˈʃ e v
יוחנן	j o . ħ a ˈn a n
מישהו	ˈm i . ʃ ɛ . h u
שנא	s a ˈn e ʔ
רחוב	ʁ ɛ ˈχ o v
שיחה	s i ˈχ a
יצר	ˈj e . t s e ʁ
עט	ʕ e t
מרור	m a ˈʁ o ʁ
לשון	l ɔ . ʃ o j n
פרי	p ʁ i
עמ׳	ʕ m ˈu d
אשפה	ʔ a ˈʃ p a
נאבד	n e ʔ e ˈv a d
מיכאל	m i . χ a ˈʔ e l
סונכרן	s u n ˈχ r a n
עד	ʔ a d
כרוב	ˈk ʁ u v
גם	d ʒ æ m
חומש	χ u ˈm a ʃ
ריח	ˈʁ e . a χ
ידע	j ɔ ˈð a ʕ
בחר	b a ˈχ a ʁ
מרשתת	m i r ˈʃ e t e t
תשע	ˈt e j . ʃ a
סתם	s t a m
גנב	ˈɡ ɔ n a v
מיזם	m e ɪ ˈz a m
רוצות	ʁ ɔ ˈt s ɔ t
חורף	ˈχ o ʁ e f
מסעדה	m i s . ʔ a ˈd a
רבקה	ʁ i v ˈk a
צריך	sˤ a ˈr i k
מישהו	ˈm i . ʃ u
דוד	d ɔ ˈw i ð
אוקיינוס	ʔ o k j a n u s
חברותא	χ a v ˈʁ u t a
אגם	ʔ a ˈɣ a m
פרחים	p ə r a ˈħ i m
מתי	m a ˈt a j
שנא	ɬ a ˈn e ʔ
על	ŋ a l
רוח	ˈr u . æ ħ
כבוד	k a ˈv o d
חמץ	χ a ˈm e t s
החזיק	h e χ ˈz i k
חייך	χ i ˈj ɛ χ
ארץ	ˈʔ æ r æ sˤ
בית	b e θ
שופכן	ʃ ɔ f ˈχ a n
תרועה	t ə r u ˈʕ ɔ
זברה	ˈz ɛ b ʁ a
זן	z ɔ n
גנב	ɡ a ˈn a b
איבוד	ʔ i ˈb u d
הבנה	h a . v a ˈn a
ירה	j a ˈʁ a
שט	ʃ a t
חרדית	χ a ʁ ɛ ˈd i t
מטר	m ɔ ˈt ɔ r
גזבר	ɡ i z ˈb a ʁ
אברהם	a v r ɔ ˈh ɔ m
צריך	sˤ ɔ ˈr i x
חלם	χ a ˈl a m
אויב	ʔ o ˈj e b
חולצה	χ u l ˈt s a
סקסי	ˈs e k . s i
ירושלים	j e . ʁ u . ʃ a ˈl a . j i m
גבריאל	ɡ a v ʁ i ˈɛ l
פיצה	ˈp i t s a
דן	d a n
שקר	ˈʃ ɛ q ɛ r
כולנו	k u ˈl a . n u
שבעה	ʃ i v . ʕ ɔ
פנס	p a ˈn a s
מיכה	m i ˈx ɔ
זמן	z m a n
נמלט	n i m ˈl a t
בחוץ	b a ˈx u t͡s
אבזם	ʔ a v ˈz a m
ביטוח	b i ˈt u a χ
קרא	k a ˈʁ a ʔ
בטוח	b a ˈt u . a χ
סינכרן	s i n ˈχ r e n
עצם	ˈʕ e s e m
עייף	ʕ a ˈj a f
נזיר	n a ˈz i r
עף	a f
יפה	j a ˈf a
אהל	a ˈh a l
אבובן	ʔ a b u ˈv a n
פח	p a χ
נזיר	ˈn ɔ z ə ʁ
אסתר	e s ˈt e j r
שישה	ʃ i ʃ . ʃ a h
אוריגמי	ɔ ʁ i ɡ a m i
עייף	ʕ i ˈj e f
שקר	ˈʃ e k e r
נאבק	n e . ʔ e ˈv a k
מלך	ˈm ɛ . l ɛ x
חבר	ħ ɔ ˈv e r
באולינג	ˈb a w . l i ŋ
סמיכות	s m i ˈχ u t
בית	ˈb a . j ɪ s
מרכול	m a ʁ ˈk o l
מפסידן	m a f s i ˈd a n
אבות	ʔ a ˈv o t
חום	χ o m
תחת	ˈt æ . ħ æ θ
אהב	ɔ ˈh a v
אשכים	a ʃ a ˈχ i m
אכלה	ʔ o χ ˈl a
תוכאים	t u k a ˈʔ i m
נעמי	n o . ʔ o ˈm i
אובדן	ʔ ɔ v ˈð ɔ n
חחח	χ a χ a χ a
עשה	ʕ ɔ ˈs ɔ
שנא	s a ˈn e
כמו	k e ˈm o
לבב	l e ˈv a v
ברכה	b ə r a ˈχ a
איגרוף	i ɡ ˈʁ u f
החזיק	h e . χ e ˈz i k
פקודה	p k u ˈd a
חבר	x a . v e j r
חבש	ħ ɔ ˈv æ ʃ
תחת	ˈt a . ħ a θ
אשמה	a ʃ ˈm a
תורה	t o ˈʁ a
גמל	d͡ʒ ɔ m a l
שפשף	ʃ i f ˈʃ e f
דובאי	d u ˈb a j
לכאן	l ə ˈχ ɑ n
נרטב	n i ʁ ˈt a v
עזיז	ʕ a ˈz i z
יער	ˈj a ʕ a ʁ
עור	ɔ ʁ
חיים	x a ˈj i m
אהל	i ˈh e l
חנון	ˈχ n u n
ציון	t͡s i ˈj o n
נהר	n a ˈh a ʁ
שד	ʃ e d
תרועה	t ə ʁ u ˈɔ
שכב	ʃ a ˈχ a v
נקבה	n e k e ˈv a
גפן	ˈɡ e f e n
לתפור	l i t ˈf o r
חרת	ħ a ˈr a θ
שלום	ˈʃ ɔ . l o ɪ m
ראשון	ʁ i ˈʃ o n
מלך	ˈm e . l e χ
איבה	e . ˈv a
יין	ˈj a j i n
מחקים	m e . χ a . ˈk i m
ברציפות	b ə . r ə . t s i ˈf u t
נתפס	n i t ˈp a s
שומר	ʃ o j ˈm e j r
אבדון	ʔ a . v a ˈd o n
אדום	a ˈd o m
מלכה	m a l ˈk a
כותב	k o ˈt i b u
את	e θ
בראשית	b æ r e ˈʃ i θ
שורש	ˈʃ o ʁ ɛ ʃ
ענן	ʕ a ˈn a n
מלון	m i l o n
בהמה	b e h e ˈm a
עצם	ˈʕ ɛ s ɛ m
עברית	ʕ i b ˈr i θ
עולם	ʕ o ˈl a m
שפתיים	s f a ˈt a j i m
אלוה	e ˈl o . a
אובדן	ʔ o v ˈd a n
יהי	j e ˈh i
מדפסת	m a d ˈp e s e t
נלחם	n i l ˈχ a m
שונא	s o ˈn e ʔ
אבוד	ʔ a ˈv u d
אחרי	a χ ˈʁ e
עף	ʔ a f
אהב	ɔ ˈh æ v
אלא	e ˈl a
השפעה	h a ʃ . p a ˈʔ a
עולם	o ɪ . l ɔ m
אמן	ʔ a ˈm e n
שנה	ʃ a ˈn a
בני	b a ˈn a ɪ
נזיר	n ɔ ˈz i r
אמן	ɔ ˈm e ɪ n
שלוש	ʃ a ˈl o ʃ
עף	ʕ a f
ציפורה	t s i . p o ˈʁ a
עם	i m
מנורה	m e . n o ˈʁ a
עת	ʕ e t
מתתיהו	m a . t i θ ˈj ɔ . h u
אפרטהייד	a ˈp a ʁ t h a j d
שקר	ˈʃ e k e r
מעלה	m a . ʕ a ˈl ɔ
נמל	n a ˈm e l
כותב	k o ˈθ e v
לבב	l e ɪ ˈv ɔ v
ספרייה	s i f ʁ i ˈj a
דוד	d ɔ ˈw i ð
דוד	d̪ a ˈv i d̪
שיר	ʃ i ʁ
כלבלב	k l a v ˈl a v
אויב	ʔ o ˈj e v
פרסה	p a r ˈs a
אנוכי	ɔ . n o j ˈx i
עדן	ʕ a d e n
כבוד	k ɔ ˈv ø ð
אב	ʔ ɔ v
ישב	j a ˈʃ o v
שעה	ʃ a ˈʔ a
לפה	l e ˈp o
פלסטין	f a l a s ˈt i n
אגרוף	i ɡ ˈʁ u f
אטמוספירה	a t m ɔ s f ɛ ʁ a
כותב	k o ɪ̯ . s e ɪ̯ v
הודו	ˈh o d u
דוד	d u d
רוק	r a w ˈw a q
ויקיפדיה	v i . k i ˈp e d . j a
צ׳ק	t ʃ e k
אברהם	ʔ æ v r ɔ ˈh ɔ m
עץ	e t͡s
רוק	r o q
לשמור	l i ʃ m o ʁ
אנטומולוגיה	ɛ n t ɔ m ɔ ˈl ɔ ɡ j a
ארכיטקטורה	a r x i t e k ˈt u r a
קח	k a χ
צמח	t s a ˈm a x
גוף	ɡ u f
מלון	m a l o n
דוד	d ɔ ˈv i d
קדח	k ɔ ˈð a ħ
חרא	ˈχ a . ʁ a
שונא	s o ɪ̯ . n e ɪ̯
דיר	d i ʁ
במקום	b a m a ˈk o m
עזה	ʔ a ˈz a
ברוך	ˈb a . ʁ u χ
רוק	r o q
עברית	ʕ i v ˈʀ i θ
מהר	m a ˈh e ʁ
פונדק	p u n ˈd a k
גנב	ɡ ɔ ˈn a v
כותב	k ø ˈθ e v
נשכח	n i ʃ ˈk a χ
אל	ʔ e l
שבת	ʃ æ b ˈb ɔ θ
חנות	ħ a ˈn u θ
ד״ר	ˈd o k t o ʁ
אחריות	a χ . ʁ a ˈj u t
ביטוח	b i ˈt u a ħ
תוכניתן	t o χ n i ˈt a n
כפל	ˈk e . f e l
חמץ	ħ a ˈm e sˤ
כרגיל	k a ʁ a ˈɡ i l
חבל	ˈχ e . v e l
שזף	ʃ a ˈz a f
בייגל	ˈb e j . ɡ e l
כריסטמס	ˈk ʁ i s t . m a s
מאוד	m e ˈo d
שערה	s a . ʔ a ˈʁ a
מרפק	m i ʁ ˈp ɛ k
אפיקורוס	e p i k o ˈr o s
חנוכייה	χ a . n u . k i ˈj a
שריר	ʃ ə ʁ i ʁ
שלוף	ʃ a ˈl u f
נותן	n o ˈθ e n
עזה	ʕ a ˈz a
מחלה	m a χ a ˈl a
שמואל	ʃ m u . e j l
שוחד	ˈʃ o x a d
מעליב	m a . ʔ a ˈl i v
שישה	ʃ i ʃ . ʃ ɔ
קטון	k a ˈt o n
חלומות	χ a l ɔ ˈm ɔ t
שרב	ʃ a ˈʁ a v
ברוך	b a ˈʁ u χ
אהל	a ˈh a l
סוד	s ɔ d
ריפוד	r i ˈp u d
כדי	k e ˈd e j
לדינו	l a ˈd i n ɔ
מלאך	m a l ˈʔ a χ
שמימי	ʃ m e j ˈm i
תרועות	ˈt ʁ u . ə s
יריעה	j e ʁ i ˈʔ a
בג״ץ	b a ˈɡ a t s
ישב	ˈj a ʃ o v
משתלה	m a ʃ t e ˈl a
חמישה	ħ a . m i . ʃ ɔ
רוק	ʁ a ˈv a k
תחת	ˈt a . χ a t
כוהן	k o ˈh e n
אחז	a ˈχ a z
רוקה	ʁ a v a ˈk a
אל	ʔ a l
שלושה	ʃ a . l o . ʃ a h
אנוכי	ʔ ɔ . n o ˈx i
דמוקרטיה	d e m o ˈk r a t j a
השפעה	h a ʃ . p a ˈŋ a
חמה	χ e ˈm a
הוכחה	h o . χ a ˈħ a
שפם	s a ˈf a m
הצטרפות	h i t s . t a r ˈf u t
מסדרון	m i s . d a ˈʁ o n
ג׳וק	d ʒ u k
אנוכי	ʔ a . n o ˈχ i
הזדיין	h i z d a ˈj e n
מד״א	m a . d a
לשתות	l i ʃ ˈt ɔ t
איש	ʔ i ʃ
עשה	a ˈs a
עמ׳	ʔ m ˈu d i m
שחק	s a ˈχ a k
קדשנו	k i d ɨ ˈʃ a n u
אָ	a
רקיע	r a ˈq i a ʕ
אחז	a ˈħ a z
בחור	b a ˈχ u r
מ־	m i
צריך	s a ˈr i x
דולר	ˈd o l a r
חם	ˈχ a m
אשכיים	ɛ ʃ ˈχ a i m
פסנתר	p s a n ˈt e ʁ
דת	d a t
מחשב	m a χ ˈʃ e v
הודו	ˈh o . d u
אוסטריה	ˈʔ o s t ʔ ʁ i j a h ˈ
קין	ˈk a . j i n
וכו׳	v ə ˈχ u . l e
קטל	k i ˈt e l
אחד	e ˈχ a d
עייף	ʕ a ˈj e f
גפן	ˈɡ a f e n
לקוח	l a ˈk o a x
דבר	d ɔ ˈv ɔ r
דג	d a ɡ
בהמות	b e h e ˈm o t
רקע	r a ˈk a
מניין	m i n ˈj a n
סמל	s a ˈm a l
אחת	a ˈχ a t
אפשר	i f ˈʃ e ʁ
עברית	ʕ i v ˈr i t
מתתיהו	m a t . t i θ ˈj a . h u
חבר	ħ a ˈb e r
כדאי	k e ˈd a j
ישב	j a ˈʃ o v
קרא	k ɔ . r ɔ
לעזאזל	l a ʔ a z a ˈz e l
עבד	ˈe v e d
נגע	n a ˈɡ a
חתול	ħ ɔ ˈθ ø l
חלום	χ a ˈl o m
חנונית	ˈχ n u n i t
דברים	d v ɔ ˈr i m
קול	k o l
ישראל	j i ɬ . r a ˈʔ e l
תשואה	t͡s u ˈa
רוח	ˈr u . a ħ
תפקיד	t a f ˈk i d
ירח	j a ˈʁ ɛ a χ
כנען	k e ˈn a ʔ a n
שמואל	ʃ æ m u ˈʔ e l
חתול	x ɔ ˈs o j l
ישיבה	j e . ʃ i ˈv a
ארץ	ˈʔ ɛ ʀ ɛ sˤ
יהודה	j e h u ˈd a
אות	ʔ o t
כותב	k o ˈt e b
שנא	s ɔ ˈn e ʔ
אנחנו	ʔ a ˈn a χ n u
טלפן	t i l ˈf e n
שונא	ɬ o ˈn e ʔ
ירושלים	j ə r u ʃ a ˈl a j i m
דשא	ˈd e ʃ e
מחק	ˈm a χ a k
מניין	m i n ˈj ɔ n
קולנוע	k o l ˈn o . a
הלחם	h e l χ e m
אני	ʔ a ˈn i
מזיק	m e ˈz i k
מתתיהו	m a t . t a θ ˈj a . h u
ציון	ˈt͡s i . j o ɪ n
ירוק	j a ˈʁ o k
קניון	ˈk e n . j o n
קריזה	k r i z ɑ
תלוי	t a ˈl u j
קשת	k a ˈʃ a t
בדיוק	b i d ˈj u k
עורב	ʔ o ʁ e v
נגמר	n i ɡ ˈm a ʁ
בוקר	ˈb o . k e ʁ
בית	b e j s
זיין	z i j e n
רך	ʁ a χ
איפה	e j ˈf o
צדקה	t͡s d a ˈk a
יצחק	j i s ˈħ a k
טכנולוגי	t e χ . n o ˈl o . ɡ i
בוקר	b o ˈk e ʁ
אברהם	ʔ a b r a ˈh a m
עלוב	ʕ a ˈl u v
בלשנות	b a l ʃ a ˈn u t
שומר	ʃ o ˈm e r
אדום	ɔ ˈd o j m
אות	ɔ s
טג׳יקיסטן	t a d͡ʒ i k i s ˈt a n
שומר	ʃ o ˈm e r
סונכרן	s u n ˈk r a n
כרה	k e ˈʁ a
כתף	k a ˈt e f
עשה	ʕ ɔ ˈs ɔ
חמה	χ a ˈm a
שונא	s ø ˈn e ʔ
כוהן	k o ˈh e n
בשעטו״מ	b e . ʃ a . a ˈt u m
הבין	h ɛ ˈv i n
שטח	ʃ a ˈt a χ
שנא	s ɔ . n e ɪ̯
מחרתיים	m o . χ o . ʁ a ˈt a . j i m
הפך	ˈh e f e χ
מחבל	m e χ a ˈb e l
חצות	χ a ˈt͡s o t
דבר	d a ˈv a ʁ
תרועות	t ə ʁ u ˈɔ ɪ̯ s
אמן	a ˈm e n
תיירות	t a j a ˈʁ u t
נותן	n ø ˈθ e n
דבר	d a ˈb a r
רדה	ʁ a ˈd a
כלל	k l a l
מתי	ˈm a t i
עוון	ɔ . ˈv ɔ j n
צריך	t͡s ɔ . r i x
בית	ˈb a . j i t
צפון	t s a . ˈf o n
שמע	ˈʃ e m a
בחייך	b e χ a ˈj ɛ χ a
בקע	ˈb ɛ q a ʕ
עוון	ʔ a . ˈv o n
הארץ	h ɔ ˈʔ ɔ r æ sˤ
בקע	b a ˈk a
ארמני	a r ˈm e . n i
בדולח	æ b ˈb ɑ d l æ
תלוי	t a ˈl u i
נער	ˈn a ʕ a r
אולי	u ˈl a j
אף	ʔ a f
עשה	ʕ a ˈs a
כמעט	k i m ˈʔ a t
כך	k a χ
ל־	l i
דעה	d e ˈʔ a
לישון	l i ʃ o n
ארון	a ˈʁ o n
אבות	ʔ ɔ ˈv o θ
אונסכ״ו	u ˈn e s . k o
ה־	h e
זומבי	ˈz o m b i
פלונטר	p l o n t e r
דברים	d æ v ɔ ˈr i m
את	e ɪ s
נשבע	n i ʃ ˈb a ʕ
רווקה	ʁ a v a ˈk a
חבר	ħ a ˈv e r
קטל	k a ˈt a l
עם	a m
חנוכה	ħ a . n u k ˈk a
חיים	ħ a ˈj i m
תרועה	ˈt ʁ u . ə
עברית	ʕ i v ˈr i θ
כמו	k m o
צימוקים	ˈt s m ʊ . k m̩
שלום	ʃ ɔ ˈl o ɪ m
נותן	n ɔ ɪ . s e ɪ n
ללמוד	l i l ˈm o d
דרקון	d ʁ a ˈk o n
נער	n a ˈʔ a ʁ
קרע	k a ˈʁ a ʕ
פלשת	p a ˈl ɛ ʃ ɛ θ
חרה	χ a ˈʁ a
אדמה	a d a ˈm a
מיקרופון	m i k ˈʁ ɔ f ɔ n
אשור	a . ʃ u ʁ
בית	ˈb a . j i θ
אור	ʔ o ʁ
